song_id,bpm,energy,danceability,db,liveness,valence,length,acousticness,speechiness,popularity
390,95,94,33,-3,24,30,236,1,7,78
391,131,75,58,-7,18,26,308,60,3,76
392,118,77,53,-5,12,30,257,0,4,54
393,128,80,45,-9,11,25,251,0,5,46
394,166,56,41,-5,19,47,176,5,3,48
395,74,17,33,-13,9,10,219,91,3,57
396,110,77,56,-7,22,71,209,0,3,48
397,77,89,69,-6,3,91,182,9,3,56
398,115,64,60,-7,10,35,223,16,4,84
399,111,66,87,-7,14,32,269,4,8,72
400,132,29,54,-10,71,19,206,97,3,53
401,97,79,71,-4,20,90,221,32,11,48
402,147,90,53,-9,14,91,205,0,4,64
403,113,42,74,-10,10,58,259,36,3,43
404,112,77,65,-6,59,38,214,23,6,54
405,174,92,55,-11,99,11,332,1,7,37
406,134,53,59,-10,12,31,287,38,4,57
407,91,30,28,-13,12,26,210,88,3,27
408,110,41,67,-9,3,71,214,15,6,42
409,183,50,45,-7,11,21,266,25,3,26
410,104,57,77,-6,11,61,165,9,3,36
411,131,83,43,-7,92,71,217,1,3,14
412,120,59,79,-9,7,73,206,9,8,61
413,127,59,40,-9,11,37,263,8,4,28
414,123,71,87,-6,10,96,226,57,4,40
415,122,71,70,-5,3,63,203,0,8,76
416,100,80,59,-7,9,32,220,50,7,38
417,131,42,31,-9,8,24,242,13,3,84
418,117,41,71,-14,15,65,227,38,4,48
419,123,84,47,-6,10,74,232,6,5,37
420,123,81,50,-6,15,28,206,4,4,47
421,136,65,64,-6,12,76,232,43,3,49
422,109,84,64,-5,9,43,221,2,4,80
423,108,72,58,-4,24,32,236,3,3,53
424,156,91,48,-4,5,54,267,4,19,59
425,115,61,37,-7,10,19,251,1,4,66
426,115,59,66,-12,31,67,204,60,3,44
427,120,39,62,-12,12,44,249,23,3,51
428,110,56,71,-7,12,23,223,15,6,75
429,172,96,60,-4,25,57,188,20,5,47
430,117,62,48,-7,26,15,241,6,4,58
431,99,19,65,-14,13,23,231,98,3,48
432,89,73,63,-6,16,50,324,9,3,38
433,135,33,56,-8,10,28,285,89,3,79
434,108,68,61,-4,13,47,242,0,3,75
435,168,94,48,-7,28,26,213,0,3,60
436,126,83,60,-7,34,35,339,3,4,58
437,129,50,86,-7,10,72,245,59,4,76
438,140,59,45,-7,8,20,279,5,3,78
439,138,78,48,-8,8,18,319,1,5,53
440,105,46,52,-16,78,89,218,93,5,18
441,104,61,28,-5,10,8,403,0,3,72
442,95,47,37,-8,11,49,251,16,4,65
443,138,87,23,-5,29,19,256,0,5,69
444,85,29,64,-10,18,41,258,67,4,76
445,97,73,50,-6,20,24,231,2,3,47
446,103,69,55,-4,8,56,161,10,3,42
447,155,20,42,-15,8,10,366,96,3,29
448,126,79,60,-4,13,30,245,7,10,67
449,120,93,51,-3,14,48,264,0,4,53
450,166,87,36,-8,10,61,194,0,7,73
451,80,45,31,-6,13,21,250,95,3,66
452,168,82,51,-11,14,7,232,0,3,51
453,79,73,50,-6,31,45,200,14,3,30
454,133,80,74,-8,19,98,239,0,4,54
455,82,52,43,-9,22,56,216,80,7,52
456,118,73,43,-7,17,31,241,0,4,68
457,140,51,44,-8,13,25,245,12,3,40
458,79,33,40,-11,8,46,173,26,5,33
459,120,75,62,-5,9,56,221,64,5,65
460,79,60,51,-9,11,40,265,44,3,66
461,128,71,73,-6,10,97,240,14,3,84
462,89,57,53,-10,13,49,182,72,6,49
463,116,33,53,-10,11,11,526,69,5,73
464,130,83,51,-5,7,56,224,1,5,69
465,140,86,79,-6,35,77,219,13,32,77
466,127,90,73,-4,37,76,236,0,14,75
467,106,35,64,-14,7,59,233,54,3,33
468,94,75,65,-5,60,65,267,8,9,76
469,160,64,59,-8,13,56,185,56,10,71
470,166,29,38,-8,12,17,201,95,5,75
471,86,75,52,-7,20,70,273,36,5,44
472,172,76,34,-7,35,33,251,0,4,39
473,135,66,53,-4,21,22,298,0,3,64
474,132,63,69,-7,6,74,319,1,4,42
475,117,45,49,-9,62,40,266,82,3,39
476,131,32,29,-8,19,20,215,86,3,49
477,138,74,43,-7,33,9,285,2,4,67
478,88,40,37,-13,8,27,189,4,3,27
479,76,55,35,-7,11,8,286,42,3,74
480,170,69,57,-7,11,78,237,4,3,54
481,126,32,65,-11,13,28,233,66,3,56
482,136,78,45,-4,67,24,187,11,6,73
483,122,26,39,-10,9,18,282,81,3,55
484,90,71,51,-3,33,43,175,19,3,73
485,131,28,33,-13,13,28,188,43,3,64
486,95,55,78,-7,13,44,243,35,5,81
487,104,63,67,-7,9,55,248,0,3,73
488,131,76,48,-5,31,45,277,1,3,69
489,142,75,50,-6,35,30,197,1,4,44
490,149,20,28,-17,13,16,809,49,3,31
491,78,20,24,-14,11,27,345,98,3,19
492,100,47,32,-7,95,25,208,26,3,42
493,184,51,35,-8,71,22,291,40,3,51
494,180,42,50,-8,11,22,281,13,7,70
495,123,73,54,-6,16,51,219,1,3,51
496,146,92,64,-4,9,85,258,3,8,83
497,107,69,30,-7,27,37,315,1,5,57
498,84,40,70,-14,90,82,158,56,6,27
499,100,93,64,-6,9,76,190,9,15,66
500,131,24,75,-13,44,67,206,79,8,52
501,85,32,52,-11,12,27,212,70,3,51
502,100,76,51,-7,14,35,220,1,7,51
503,85,87,42,-4,12,63,203,7,6,70
504,148,60,51,-14,81,96,312,67,10,34
505,73,28,61,-9,9,39,214,93,4,82
506,137,30,59,-10,12,14,240,69,4,72
507,112,65,81,-7,15,81,229,35,6,57
508,155,54,27,-7,10,33,285,49,3,54
509,141,71,75,-10,10,90,283,9,3,41
510,80,81,37,-6,8,65,209,3,5,57
511,154,58,27,-8,11,20,308,1,4,58
512,124,39,61,-11,11,22,255,53,4,67
513,130,73,53,-5,8,57,205,0,3,48
514,119,26,46,-8,11,23,221,92,4,46
515,112,31,62,-10,12,13,241,95,3,66
516,92,71,56,-5,11,39,225,0,5,67
517,105,88,66,-5,14,86,238,2,4,66
518,103,76,45,-5,15,42,267,2,3,75
519,132,68,52,-5,6,11,214,8,4,56
520,126,34,47,-8,11,24,165,86,4,63
521,152,88,51,-5,7,68,268,0,3,57
522,124,78,53,-6,16,64,247,0,5,85
523,71,63,51,-9,15,50,214,10,19,49
524,85,53,55,-8,22,41,272,19,3,82
525,123,54,45,-9,9,13,244,70,4,58
526,125,78,55,-5,8,46,255,3,4,78
527,76,5,63,-21,10,20,301,56,4,64
528,130,83,55,-5,6,14,204,4,3,65
